Store ID,Product ID,Category,Region
S001,P0001,Electronics,North
S001,P0002,Clothing,North
S001,P0003,Clothing,North
S001,P0004,Electronics,North
S001,P0005,Groceries,North
S001,P0006,Toys,North
S001,P0007,Groceries,North
S001,P0008,Electronics,North
S001,P0009,Clothing,North
S001,P0010,Furniture,North
S001,P0011,Furniture,North
S001,P0012,Groceries,North
S001,P0013,Toys,North
S001,P0014,Groceries,North
S001,P0015,Toys,North
S001,P0016,Groceries,North
S001,P0017,Toys,North
S001,P0018,Groceries,North
S001,P0019,Furniture,North
S001,P0020,Furniture,North
S002,P0001,Groceries,South
S002,P0002,Toys,South
S002,P0003,Groceries,South
S002,P0004,Groceries,South
S002,P0005,Electronics,South
S002,P0006,Clothing,South
S002,P0007,Toys,South
S002,P0008,Groceries,South
S002,P0009,Groceries,South
S002,P0010,Groceries,South
S002,P0011,Groceries,South
S002,P0012,Electronics,South
S002,P0013,Groceries,South
S002,P0014,Electronics,South
S002,P0015,Clothing,South
S002,P0016,Clothing,South
S002,P0017,Toys,South
S002,P0018,Clothing,South
S002,P0019,Clothing,South
S002,P0020,Furniture,South
S003,P0001,Toys,East
S003,P0002,Groceries,East
S003,P0003,Electronics,East
S003,P0004,Groceries,East
S003,P0005,Toys,East
S003,P0006,Toys,East
S003,P0007,Groceries,East
S003,P0008,Clothing,East
S003,P0009,Groceries,East
S003,P0010,Groceries,East
S003,P0011,Electronics,East
S003,P0012,Furniture,East
S003,P0013,Groceries,East
S003,P0014,Groceries,East
S003,P0015,Groceries,East
S003,P0016,Electronics,East
S003,P0017,Furniture,East
S003,P0018,Furniture,East
S003,P0019,Groceries,East
S003,P0020,Clothing,East
S004,P0001,Groceries,West
S004,P0002,Groceries,West
S004,P0003,Furniture,West
S004,P0004,Groceries,West
S004,P0005,Clothing,West
S004,P0006,Groceries,West
S004,P0007,Groceries,West
S004,P0008,Furniture,West
S004,P0009,Clothing,West
S004,P0010,Groceries,West
S004,P0011,Clothing,West
S004,P0012,Electronics,West
S004,P0013,Groceries,West
S004,P0014,Furniture,West
S004,P0015,Furniture,West
S004,P0016,Furniture,West
S004,P0017,Clothing,West
S004,P0018,Furniture,West
S004,P0019,Clothing,West
S004,P0020,Furniture,West
S005,P0001,Groceries,North
S005,P0002,Electronics,North
S005,P0003,Toys,North
S005,P0004,Groceries,North
S005,P0005,Groceries,North
S005,P0006,Groceries,North
S005,P0007,Groceries,North
S005,P0008,Groceries,North
S005,P0009,Groceries,North
S005,P0010,Groceries,North
S005,P0011,Electronics,North
S005,P0012,Furniture,North
S005,P0013,Groceries,North
S005,P0014,Furniture,North
S005,P0015,Groceries,North
S005,P0016,Toys,North
S005,P0017,Toys,North
S005,P0018,Clothing,North
S005,P0019,Furniture,North
S005,P0020,Toys,North
