store_id,product_id,week,units_sold,demand,price,discount_planned_UNVERIFIED,promotion_share_planned_UNVERIFIED,epidemic_share_realized_DO_NOT_USE_AS_FEATURE,category,region,month,quarter,seasonality,naive_seasonal_lag52,naive_lag1,baseline_forecast,baseline_used_fallback,lag_1,lag_2,lag_4,lag_52,roll_mean_4,roll_mean_8,roll_std_4,month_sin,month_cos,epidemic_share_lag1,promotion_share_lag1,discount_lag1
S001,P0001,2022-01-03,656,742,67.31285714285714,11.428571428571429,0.42857142857142855,0.0,Electronics,North,1,1,Winter,,,,False,,,,,,,,0.49999999999999994,0.8660254037844387,,,
S001,P0001,2022-01-10,582,717,67.69428571428571,8.571428571428571,0.2857142857142857,0.0,Electronics,North,1,1,Winter,,656.0,656.0,True,656.0,,,,,,,0.49999999999999994,0.8660254037844387,0.0,0.42857142857142855,11.428571428571429
S001,P0001,2022-01-17,585,670,66.6,10.714285714285714,0.2857142857142857,0.0,Electronics,North,1,1,Winter,,582.0,582.0,True,582.0,656.0,,,619.0,,52.32590180780452,0.49999999999999994,0.8660254037844387,0.0,0.2857142857142857,8.571428571428571
S001,P0001,2022-01-24,667,706,65.11571428571429,13.571428571428571,0.42857142857142855,0.0,Electronics,North,1,1,Winter,,585.0,585.0,True,585.0,582.0,,,607.6666666666666,,41.884762543594924,0.49999999999999994,0.8660254037844387,0.0,0.2857142857142857,10.714285714285714
S001,P0001,2022-01-31,562,624,67.00714285714285,7.857142857142857,0.2857142857142857,0.0,Electronics,North,1,1,Winter,,667.0,667.0,True,667.0,585.0,656.0,,622.5,622.5,45.27324449016954,0.49999999999999994,0.8660254037844387,0.0,0.42857142857142855,13.571428571428571
S001,P0001,2022-02-07,584,705,71.47857142857143,5.0,0.0,0.0,Electronics,North,2,1,Winter,,562.0,562.0,True,562.0,667.0,582.0,,599.0,610.4,46.4686274096119,0.8660254037844386,0.5000000000000001,0.0,0.2857142857142857,7.857142857142857
S001,P0001,2022-02-14,687,712,63.45428571428572,15.714285714285714,0.5714285714285714,0.0,Electronics,North,2,1,Winter,,584.0,584.0,True,584.0,562.0,585.0,,599.5,606.0,46.23490744736781,0.8660254037844386,0.5000000000000001,0.0,0.0,5.0
S001,P0001,2022-02-21,812,847,73.28714285714285,8.571428571428571,0.42857142857142855,0.0,Electronics,North,2,1,Winter,,687.0,687.0,True,687.0,584.0,667.0,,625.0,617.5714285714286,61.25901294231459,0.8660254037844386,0.5000000000000001,0.0,0.5714285714285714,15.714285714285714
S001,P0001,2022-02-28,710,797,66.19285714285715,15.714285714285714,0.8571428571428571,0.0,Electronics,North,2,1,Winter,,812.0,812.0,True,812.0,687.0,562.0,,661.25,641.875,114.31936260610739,0.8660254037844386,0.5000000000000001,0.0,0.42857142857142855,8.571428571428571
S001,P0001,2022-03-07,583,671,66.05571428571429,10.0,0.42857142857142855,0.0,Electronics,North,3,1,Spring,,710.0,710.0,True,710.0,812.0,584.0,,698.25,648.625,93.55346065218538,1.0,6.123233995736766e-17,0.0,0.8571428571428571,15.714285714285714
S001,P0001,2022-03-14,767,766,73.58142857142857,6.428571428571429,0.14285714285714285,0.0,Electronics,North,3,1,Spring,,583.0,583.0,True,583.0,710.0,687.0,,698.0,648.75,93.96098481107286,1.0,6.123233995736766e-17,0.0,0.42857142857142855,10.0
S001,P0001,2022-03-21,602,585,64.68714285714286,7.857142857142857,0.14285714285714285,0.0,Electronics,North,3,1,Spring,,767.0,767.0,True,767.0,583.0,812.0,,718.0,671.5,99.20685460188726,1.0,6.123233995736766e-17,0.0,0.14285714285714285,6.428571428571429
S001,P0001,2022-03-28,656,759,70.01571428571428,9.285714285714286,0.2857142857142857,0.0,Electronics,North,3,1,Spring,,602.0,602.0,True,602.0,767.0,710.0,,665.5,663.375,87.78952101475437,1.0,6.123233995736766e-17,0.0,0.14285714285714285,7.857142857142857
S001,P0001,2022-04-04,547,699,67.80428571428571,8.571428571428571,0.14285714285714285,0.0,Electronics,North,4,2,Spring,,656.0,656.0,True,656.0,602.0,583.0,,652.0,675.125,82.66801074176152,0.8660254037844387,-0.4999999999999998,0.0,0.2857142857142857,9.285714285714286
